task_id,test_idx,n_views,n_unique_grids,view_level_accuracy,top1_share,top2_share,top1_top2_gap,vote_entropy,top1_correct
dc2e9a9d,0,510,404,0.0,0.00980392156862745,0.00784313725490196,0.00196078431372549,5.903211628491706,False
dd2401ed,0,510,115,0.1,0.12156862745098039,0.11176470588235295,0.00980392156862745,3.6260935823577407,False
de493100,0,510,374,0.0,0.00784313725490196,0.00784313725490196,0.0,5.828569619677725,False
df8cc377,0,510,455,0.0,0.0058823529411764705,0.0058823529411764705,0.0,6.073622648379127,False
e0fb7511,0,510,8,0.9490196078431372,0.9490196078431372,0.021568627450980392,0.9274509803921569,0.2798824019494631,True
e133d23d,0,510,3,0.9823529411764705,0.9823529411764705,0.01568627450980392,0.9666666666666667,0.09489074733218336,True
e1baa8a4,0,510,288,0.0,0.03333333333333333,0.025490196078431372,0.00784313725490196,5.387412024153444,False
e1d2900e,0,510,15,0.0,0.39019607843137255,0.21764705882352942,0.17254901960784313,1.8196039974988996,False
e2092e0c,0,510,335,0.0,0.025490196078431372,0.01568627450980392,0.00980392156862745,5.603752029248138,False
e21a174a,0,510,351,0.0,0.021568627450980392,0.01764705882352941,0.00392156862745098,5.66992755353932,False
e21a174a,1,510,398,0.0,0.01764705882352941,0.01568627450980392,0.00196078431372549,5.859360334671917,False
e345f17b,0,510,13,0.9215686274509803,0.9215686274509803,0.01568627450980392,0.9058823529411765,0.4420391761817319,True
e345f17b,1,510,25,0.8941176470588236,0.8941176470588236,0.0196078431372549,0.8745098039215686,0.643504162841887,True
e4075551,0,510,45,0.8352941176470589,0.8352941176470589,0.029411764705882353,0.8058823529411765,0.9981822430806313,True
e41c6fd3,0,510,409,0.060784313725490195,0.060784313725490195,0.01764705882352941,0.043137254901960784,5.798933299072728,True
e57337a4,0,510,16,0.5450980392156862,0.5450980392156862,0.34901960784313724,0.19607843137254902,1.141451951304158,True
e5790162,0,510,217,0.0,0.060784313725490195,0.043137254901960784,0.01764705882352941,4.87245619188123,False
e5c44e8f,0,510,358,0.0,0.03137254901960784,0.01568627450980392,0.01568627450980392,5.692251222691212,False
e619ca6e,0,510,377,0.0,0.011764705882352941,0.011764705882352941,0.0,5.7957145800577425,False
e633a9e5,0,510,6,0.9882352941176471,0.9882352941176471,0.00392156862745098,0.984313725490196,0.08232301303388186,True
e66aafb8,0,510,140,0.5254901960784314,0.5254901960784314,0.03529411764705882,0.49019607843137253,2.8982019800028493,True
e681b708,0,510,112,0.2568627450980392,0.2568627450980392,0.1,0.1568627450980392,3.559218787121427,True
e69241bd,0,510,108,0.041176470588235294,0.29411764705882354,0.22156862745098038,0.07254901960784314,2.5821953461138056,False
e6de6e8f,0,510,253,0.0,0.058823529411764705,0.041176470588235294,0.01764705882352941,4.9897258279843575,False
e74e1818,0,510,437,0.0,0.00784313725490196,0.00784313725490196,0.0,6.0202841403818095,False
e760a62e,0,510,113,0.3352941176470588,0.3352941176470588,0.08431372549019608,0.25098039215686274,3.202057584657085,True
e7639916,0,510,8,0.9764705882352941,0.9764705882352941,0.00784313725490196,0.9686274509803922,0.15363306978700575,True
e78887d1,0,510,323,0.0,0.025490196078431372,0.0196078431372549,0.0058823529411764705,5.557769924212991,False
e7a25a18,0,510,211,0.06862745098039216,0.07058823529411765,0.06862745098039216,0.00196078431372549,4.629247702575492,False
e7b06bea,0,510,48,0.8058823529411765,0.8058823529411765,0.0392156862745098,0.7666666666666667,1.131641541899699,True
e7dd8335,0,510,169,0.023529411764705882,0.1,0.08823529411764706,0.011764705882352941,4.245143028628417,False
e872b94a,0,510,3,0.22156862745098038,0.7705882352941177,0.22156862745098038,0.5490196078431373,0.5727495915544623,False
e88171ec,0,510,18,0.792156862745098,0.792156862745098,0.06666666666666667,0.7254901960784313,0.9288696162254463,True
e95e3d8e,0,510,312,0.09607843137254903,0.09607843137254903,0.0392156862745098,0.056862745098039215,5.252558845510471,True
e99362f0,0,510,73,0.4764705882352941,0.4764705882352941,0.27058823529411763,0.20588235294117646,2.032943812538519,True
e9ac8c9e,0,510,117,0.23529411764705882,0.23529411764705882,0.1980392156862745,0.03725490196078431,3.2354885862026066,True
e9b4f6fc,0,510,224,0.12745098039215685,0.12745098039215685,0.03529411764705882,0.09215686274509804,4.755431137753609,True
e9bb6954,0,510,8,0.9803921568627451,0.9803921568627451,0.00392156862745098,0.9764705882352941,0.1335030153370861,True
e9c9d9a1,0,510,1,1.0,1.0,0.0,1.0,0.0,True
ea959feb,0,510,279,0.3862745098039216,0.3862745098039216,0.00980392156862745,0.3764705882352941,4.079955778285757,True
ea9794b1,0,510,83,0.5294117647058824,0.5294117647058824,0.1450980392156863,0.3843137254901961,2.127870661528232,True
ecaa0ec1,0,510,19,0.0,0.2627450980392157,0.25098039215686274,0.011764705882352941,2.034817768166106,False
ed74f2f2,0,510,87,0.07647058823529412,0.5294117647058824,0.13137254901960785,0.3980392156862745,2.2587543787992046,False
ed98d772,0,510,273,0.0,0.029411764705882353,0.029411764705882353,0.0,5.2636446353001265,False
ef26cbf6,0,510,2,0.9980392156862745,0.9980392156862745,0.00196078431372549,0.996078431372549,0.014183195474810515,True
f0afb749,0,510,53,0.6274509803921569,0.6274509803921569,0.06862745098039216,0.5588235294117647,1.8536332141515894,True
f0df5ff0,0,510,49,0.884313725490196,0.884313725490196,0.013725490196078431,0.8705882352941177,0.7886306058978639,True
f21745ec,0,510,423,0.0,0.00980392156862745,0.00980392156862745,0.0,5.971031506058283,False
f3b10344,0,510,106,0.043137254901960784,0.23333333333333334,0.14705882352941177,0.08627450980392157,3.31668637958118,False
f3cdc58f,0,510,462,0.0,0.00784313725490196,0.00784313725490196,0.0,6.093369630081453,False
f3e62deb,0,510,18,0.0,0.8647058823529412,0.08235294117647059,0.7823529411764706,0.6212626249670616,False
f3e62deb,1,510,29,0.0,0.4647058823529412,0.11960784313725491,0.34509803921568627,1.890928516558756,False
f4081712,0,510,246,0.22745098039215686,0.22745098039215686,0.03333333333333333,0.19411764705882353,4.585142903933782,True
f45f5ca7,0,510,160,0.0,0.09607843137254903,0.08823529411764706,0.00784313725490196,4.122881447917801,False
f5aa3634,0,510,236,0.0,0.050980392156862744,0.045098039215686274,0.0058823529411764705,5.003551387640119,False
f5c89df1,0,510,351,0.0,0.041176470588235294,0.011764705882352941,0.029411764705882353,5.667734287607542,False
